"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"ARZ","3.4039783162779322","2.6630790046818342","5.4603164546347704","4.484278613087993","3.5782242420395733","3.7275051589172254","1.8531399551642123","6.5956021933568625","2.6630790046818342","3.7275051589172254","4.224842934559504","10","0.6863385991531568","","5.7292486706632495","4.989928695644156","7.07829755363392","13","1.877350922650344","3","6.984364152805301","16","4.04337081819039"
"ATL","3.7512963788199167","5.793046299988092","4.191346637203437","4.989928695644156","3.5471979330182424","4.442806901419217","6.2955359629895655","6.730580172043106","8.140639725680705","4.621214255577892","","4.539456952557035","3.5782242420395733","4.5170446066345855","10","6.730580172043106","4.989928695644156","13","5.123894867523189","3","10","16","8.82187154358611"
"BLT","6.081630385400041","4.989928695644156","6.5956021933568625","8.29417268130779","4.198457392004571","4.5170446066345855","9.385846146565946","3.8906313081936093","4.194792220866963","3.4039783162779322","5.483029155827598","1.2964632854891325","","6.730580172043106","3.7512963788199167","4.5170446066345855","8.140639725680705","13","6.50925151238254","3","5.917028777819873","16","7.624587288127555"
"BUF","1.2964632854891325","3.5782242420395733","3.4039783162779322","0","3.7275051589172254","7.07829755363392","","3.5471979330182424","4.539456952557035","5.7292486706632495","8.575549127934021","4.621214255577892","0","4.191346637203437","4.442806901419217","1.6072865994906016","8.673314689543648","13","1.6031424689319531","3","4.6213293308816725","16","0"
"CAR","4.442806901419217","4.198457392004571","4.5170446066345855","3.5782242420395733","","0.6863385991531568","7.760101429453888","4.191346637203437","1.6072865994906016","4.989928695644156","3.0716806320712524","6.730580172043106","4.539456952557035","4.989928695644156","8.140639725680705","3.7512963788199167","2.6630790046818342","13","0.2506925869659546","3","4.491885584265052","16","0.5665106894664742"
"CHI","5.793046299988092","4.539456952557035","0.6863385991531568","5.7292486706632495","4.191346637203437","4.198457392004571","0","2.6630790046818342","6.730580172043106","","4.6207285312086785","3.5782242420395733","4.194792220866963","8.673314689543648","3.8906313081936093","4.191346637203437","3.5782242420395733","13","2.104087876644178","3","2.2666431484316814","16","1.689694294319006"
"CIN","6.730580172043106","1.2964632854891325","3.7512963788199167","4.194792220866963","8.673314689543648","","4.089783502603295","8.29417268130779","4.198457392004571","3.7512963788199167","10","4.989928695644156","4.5170446066345855","4.621214255577892","5.793046299988092","6.081630385400041","3.5471979330182424","13","7.265970810454368","3","5.158240412012402","16","10"
"CLV","4.194792220866963","6.730580172043106","5.793046299988092","3.7512963788199167","5.7292486706632495","3.5471979330182424","9.562863770303478","3.7512963788199167","4.989928695644156","1.2964632854891325","","7.07829755363392","8.140639725680705","4.198457392004571","4.484278613087993","3.5471979330182424","6.081630385400041","13","6.845880090972985","3","4.15219080733495","16","8.82529366454708"
"DAL","4.484278613087993","10","3.5471979330182424","1.2964632854891325","6.730580172043106","4.191346637203437","0.7913221458234314","8.433609723227711","6.081630385400041","5.4603164546347704","8.168467538945418","0.6863385991531568","2.6630790046818342","","3.7275051589172254","4.194792220866963","4.484278613087993","13","6.109932346241855","3","2.84038062637827","16","6.594135686707917"
"DEN","4.621214255577892","4.194792220866963","3.7275051589172254","5.4603164546347704","3.4039783162779322","2.6630790046818342","9.723629344839846","4.621214255577892","5.793046299988092","","6.862992629192613","3.7512963788199167","8.673314689543648","5.7292486706632495","7.07829755363392","3.8906313081936093","0","13","6.761722999487487","3","1.7352614044337646","16","5.423442700307151"
