"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"ARZ","3.412670185735127","2.2563776161819153","9.922084685876712","7.430967776037032","2.581823986953266","0","0.8003006257901715","6.934583605055802","2.2563776161819153","0","2.8842755090039027","6.190266057546619","4.146618278980155","","3.8621458048320583","4.979520964341702","8.946208641571268","13","1.9146712374592858","3","6.87435728177979","16","4.015319026997275"
"ATL","3.67332786133054","6.498145347015973","4.276125384829467","4.979520964341702","5.012449992098835","6.1216449278821745","9.922084685876712","6.701004584785907","10","3.453747385313366","","4.087155855972627","2.581823986953266","1.301706346464796","6.190266057546619","6.701004584785907","4.979520964341702","13","6.509941735778565","3","6.933291764855545","16","7.426327878141973"
"BLT","6.152895678742918","4.979520964341702","6.934583605055802","3.462572197012433","5.7685294095290764","1.3119282768445528","10","7.984412120249907","4.116607578152745","3.412670185735127","6.193511863223459","1.2850672436270159","","6.701004584785907","3.67332786133054","1.301706346464796","10","13","6.523044146182749","3","4.87506944166263","16","6.566026078262622"
"BUF","1.2850672436270159","2.581823986953266","3.412670185735127","3.327943655590678","0","9.016460678173285","","5.012449992098835","4.087155855972627","3.8621458048320583","5.892803442246666","3.453747385313366","3.327943655590678","4.276125384829467","6.0739479391314575","0.8003006257901715","6.221502639787991","13","0","3","3.5393283225876866","16","0"
"CAR","6.0739479391314575","5.7685294095290764","1.301706346464796","2.581823986953266","","4.179180495085405","6.701004584785907","4.276125384829467","0.8003006257901715","4.979520964341702","4.578572836974305","6.701004584785907","4.087155855972627","4.979520964341702","10","3.67332786133054","2.2563776161819153","13","1.3234632218808944","3","5.553622734629586","16","2.885104163327725"
"CHI","6.498145347015973","4.087155855972627","4.146618278980155","3.8621458048320583","4.276125384829467","5.813828033276227","3.327943655590678","2.2563776161819153","6.701004584785907","","4.542779245882138","2.581823986953266","4.116607578152745","6.221502639787991","7.984412120249907","4.276125384829467","2.581823986953266","13","3.031128085325694","3","4.780769433876365","16","4.671089948264179"
"CIN","6.701004584785907","1.2850672436270159","3.67332786133054","4.116607578152745","6.221502639787991","","5.012449992098835","3.462572197012433","5.7685294095290764","3.67332786133054","5.858849525960077","4.979520964341702","1.301706346464796","3.453747385313366","6.498145347015973","6.152895678742918","5.012449992098835","13","2.205859640309499","3","6.78594837908768","16","3.980642718570519"
"CLV","4.116607578152745","6.701004584785907","6.498145347015973","3.67332786133054","3.8621458048320583","5.051811338834524","3.462572197012433","3.67332786133054","4.979520964341702","1.2850672436270159","","8.946208641571268","10","5.7685294095290764","7.430967776037032","5.012449992098835","6.152895678742918","13","6.904117901572457","3","7.4489721350589155","16","8.514819036932607"
"DAL","7.430967776037032","6.190266057546619","5.012449992098835","1.2850672436270159","6.701004584785907","4.309704583469427","4.146618278980155","9.71587560189994","6.152895678742918","9.922084685876712","2.8938680090847275","4.146618278980155","2.2563776161819153","","0","4.116607578152745","7.430967776037032","13","7.773666903464395","3","2.4389287873912013","16","6.0103126088686345"
"DEN","3.453747385313366","4.116607578152745","0","9.922084685876712","3.412670185735127","2.2740963090082147","9.71587560189994","3.453747385313366","6.498145347015973","","8.854537180439939","3.67332786133054","6.221502639787991","3.8621458048320583","8.946208641571268","7.984412120249907","3.327943655590678","13","6.042247253761751","3","8.630453033847195","16","6.9545103132889565"
