"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"ARZ","4.0479348916098665","3.571283330063923","5.187807741359057","3.4110776497393918","2.450163769368627","0.8049064559433928","3.1404137640901437","4.0933740454067955","3.571283330063923","0.8049064559433928","6.052925385021856","10","0.5679522336211081","","5.890260924372923","5.438194787515257","7.503991114584075","13","1.3379080940029193","3","7.534012854997966","16","2.3499719560523795"
"ATL","4.73248716577913","7.980822877977608","3.214427713477346","5.438194787515257","2.5709313060528505","4.432935163203414","5.297876365260075","5.379034962621697","9.792240104690299","6.052925385021856","","5.025686371206664","2.450163769368627","3.3764100190835125","10","5.641483704068103","5.438194787515257","13","5.886629037888898","3","9.206528585189556","16","7.556170034455112"
"BLT","9.295405085963461","5.438194787515257","4.428842185814358","8.97715531450097","4.227951612243602","3.3764100190835125","10","2.8573852607214483","4.927189140480353","4.0479348916098665","7.980822877977608","0","","5.641483704068103","4.73248716577913","3.3764100190835125","9.792240104690299","13","7.627481325786042","3","6.8408801111168485","16","7.6461176102237784"
"BUF","0","2.450163769368627","4.0479348916098665","2.286287166003293","0.8049064559433928","7.503991114584075","","2.1235887710105574","5.025686371206664","5.890260924372923","8.996608414135842","6.052925385021856","2.286287166003293","3.214427713477346","4.432935163203414","3.0751685606044927","8.996608414135842","13","1.7776925748279475","3","5.801582263742454","16","0"
"CAR","4.432935163203414","4.227951612243602","3.3764100190835125","2.450163769368627","","0.5679522336211081","5.76117787529121","2.8058334154008","3.0751685606044927","5.438194787515257","2.5709313060528505","5.641483704068103","5.025686371206664","5.438194787515257","9.792240104690299","4.73248716577913","3.571283330063923","13","0","3","6.985915748994948","16","0.6824146795389217"
"CHI","7.980822877977608","5.025686371206664","0.5679522336211081","5.890260924372923","3.214427713477346","4.227951612243602","2.3347948391381914","3.1841771488354533","5.641483704068103","","5.438194787515257","2.450163769368627","4.927189140480353","8.996608414135842","3.263051660228278","3.214427713477346","2.450163769368627","13","4.089425855524309","3","0.16230293201425328","16","2.7562510823180175"
"CIN","5.641483704068103","0","4.73248716577913","4.927189140480353","8.996608414135842","","2.625478213939447","8.91556456155256","4.227951612243602","4.73248716577913","10","5.438194787515257","3.3764100190835125","6.052925385021856","7.980822877977608","9.295405085963461","2.5709313060528505","13","7.297183057200137","3","8.289218715505998","16","10"
"CLV","4.927189140480353","5.641483704068103","7.980822877977608","4.73248716577913","5.890260924372923","2.5709313060528505","9.167621727536156","4.415303055400928","5.438194787515257","0","","7.503991114584075","9.792240104690299","4.227951612243602","3.4110776497393918","2.5709313060528505","9.295405085963461","13","8.237157694353508","3","4.888158248151605","16","9.29311805059775"
"DAL","3.4110776497393918","10","2.5709313060528505","0","5.641483704068103","3.214427713477346","0.5800023565078534","7.629820474550398","9.295405085963461","5.187807741359057","8.97715531450097","0.5679522336211081","3.571283330063923","","0.8049064559433928","4.927189140480353","3.4110776497393918","13","5.672122370368805","3","0.3227125120956008","16","3.7045052132720495"
"DEN","6.052925385021856","4.927189140480353","0.8049064559433928","5.187807741359057","4.0479348916098665","3.571283330063923","7.929171739148422","5.815251668839369","7.980822877977608","","7.503991114584075","4.73248716577913","8.996608414135842","5.890260924372923","7.503991114584075","3.263051660228278","2.286287166003293","13","8.16101831090571","3","3.232870232304182","16","6.440188276042756"
"DET","5.438194787515257","3.263051660228278","5.890260924372923","7.980822877977608","7.76443535010661","","3.2826275490709174","4.7261572969079095","8.996608414135842","2.286287166003293","5.641483704068103","4.432935163203414","4.227951612243602","8.97715531450097","5.025686371206664","3.4110776497393918","4.432935163203414","13","8.179036287507959","3","3.0962019333302178","16","7.8089649566257755"
"GB","5.025686371206664","5.890260924372923","4.227951612243602","5.641483704068103","4.432935163203414","4.428842185814358","2.502148377872234","7.859237811305545","2.286287166003293","5.025686371206664","","0.8049064559433928","5.438194787515257","3.263051660228278","8.996608414135842","4.432935163203414","0","13","2.8154209251389894","3","3.5128695019688023","16","1.745566955395161"
