"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"ARZ","3.97198947573981","1.8649252760244004","6.127988316589207","6.30669825608459","6.202474953819337","6.2720132998620235","1.373785465733449","7.923185778049673","1.8649252760244004","6.2720132998620235","2.7897553755391162","10","1.1179243007151243","","6.059823440460821","5.614214462877825","6.67058325958279","13","4.42086185161059","3","6.9872121389086095","16","5.622964934621973"
"ATL","2.798866625471916","4.411847041280417","5.48307688607167","5.614214462877825","5.085349906896357","6.7638463372069975","7.0299103553671145","7.217249107747103","3.2750120642199447","3.595806143517658","","5.271720427813358","6.202474953819337","6.557592941851572","10","7.217249107747103","5.614214462877825","13","5.629163344376642","3","10","16","8.13142578523861"
"BLT","3.425144147701189","5.614214462877825","7.923185778049673","8.639951690831364","5.810040503221241","6.557592941851572","3.7570308614795915","3.9611563975139807","4.562204642137234","3.97198947573981","3.708505592707904","3.7273846928826564","","7.217249107747103","2.798866625471916","6.557592941851572","3.2750120642199447","13","5.843494505000303","3","3.1509937044961758","16","5.151786023765638"
"BUF","3.7273846928826564","6.202474953819337","3.97198947573981","0","6.2720132998620235","6.67058325958279","","5.085349906896357","5.271720427813358","6.059823440460821","8.007688164992818","3.595806143517658","0","5.48307688607167","6.7638463372069975","1.1975318116378748","8.230413546488505","13","4.765908277492413","3","5.541647998787875","16","3.611968658979658"
"CAR","6.7638463372069975","5.810040503221241","6.557592941851572","6.202474953819337","","1.1179243007151243","8.279489388461341","5.48307688607167","1.1975318116378748","5.614214462877825","4.466777519696959","7.217249107747103","5.271720427813358","5.614214462877825","3.2750120642199447","2.798866625471916","1.8649252760244004","13","5.058017134975863","3","0","16","1.6563409453554865"
"CHI","4.411847041280417","5.271720427813358","1.1179243007151243","6.059823440460821","5.48307688607167","5.810040503221241","0","1.8649252760244004","7.217249107747103","","5.062206531886135","6.202474953819337","4.562204642137234","8.230413546488505","3.9611563975139807","5.48307688607167","6.202474953819337","13","3.5974105795309046","3","5.175639862975299","16","2.3646046120818283"
"CIN","7.217249107747103","3.7273846928826564","2.798866625471916","4.562204642137234","8.230413546488505","","5.833815621739604","8.639951690831364","5.810040503221241","2.798866625471916","10","5.614214462877825","6.557592941851572","3.595806143517658","4.411847041280417","3.425144147701189","5.085349906896357","13","8.547289071183657","3","3.346304328690298","16","8.713245233668772"
"CLV","4.562204642137234","7.217249107747103","4.411847041280417","2.798866625471916","6.059823440460821","5.085349906896357","9.911586433156483","2.798866625471916","5.614214462877825","3.7273846928826564","","6.67058325958279","3.2750120642199447","5.810040503221241","6.30669825608459","5.085349906896357","3.425144147701189","13","5.873933052888565","3","4.6186433635391335","16","5.933879109210415"
"DAL","6.30669825608459","10","5.085349906896357","3.7273846928826564","7.217249107747103","5.48307688607167","1.2824612600580156","8.717021991483406","3.425144147701189","6.127988316589207","8.468771990675402","1.1179243007151243","1.8649252760244004","","6.2720132998620235","4.562204642137234","6.30669825608459","13","7.162595206475353","3","6.178958276421319","16","8.196375805695261"
"DEN","3.595806143517658","4.562204642137234","6.2720132998620235","6.127988316589207","3.97198947573981","1.8649252760244004","10","3.595806143517658","4.411847041280417","","6.251533027707394","2.798866625471916","8.230413546488505","6.059823440460821","6.67058325958279","3.9611563975139807","0","13","5.676265811372463","3","1.8082302038870939","16","3.022662815704729"
